Cluster,BALANCE_FREQUENCY,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PRC_FULL_PAYMENT,MONTHLY_PAYMENTS,MINIMUM_PAYMENTS_RATIO,LOG_BALANCE,LOG_CREDIT_LIMIT,LOG_TOTAL_PURCHASES,LOG_TOTAL_SPENDING,LOG_PAYMENTS
0,0.9763422591262717,0.9161682597247157,0.6468458497905446,0.6550685116696588,0.1212326169958109,3.1813285457809695,47.20885697187313,0.24798787672052663,342.9287017315061,0.17360331305126786,7.120193325791765,8.775359472928294,7.815931948482367,8.141936165413686,7.900997622289574
1,0.9477606064227034,0.08166252464525765,0.04791011127707245,0.03349977819268111,0.317116214712472,7.780059746079163,1.4637789395070948,0.0287577789395071,159.65419567954058,0.3013306250947463,7.487249654346849,8.145033881661638,1.7123515659967905,7.1431160260072595,6.865712217898211
2,0.956453075729927,0.689478445863747,0.15539352767639902,0.5511058835158151,0.03709746928223844,0.684610705596107,13.192518248175183,0.1812290413625304,76.09016399478126,0.4170807744202038,5.871584859642407,7.80092559804031,6.215287493022215,6.395562247847142,6.363373893722966
3,0.409127541507997,0.28333806169078446,0.06997688956587966,0.20209152551408988,0.027225581111957352,0.5140898705255141,4.166031987814166,0.21969835643564353,62.472930064782595,0.07842355479843563,2.9643450770202153,7.862309871296213,4.4040031435263955,5.443601167781178,5.1621602380298635
